siteID,collectDate,avg_temp,min_temp,max_temp,var_temp
DSNY,2016-04-01,25.59798125,25.3038125,25.89185833333333,0.0452375
DSNY,2016-04-02,23.756927083333334,23.583858333333332,23.932485416666665,0.0172875
DSNY,2016-04-03,20.251864583333333,20.013870833333332,20.48485,0.027895833333333335
DSNY,2016-04-04,19.910127083333332,19.639195833333332,20.194260416666665,0.04843541666666667
DSNY,2016-04-05,21.11046875,20.739845833333334,21.462516666666666,0.08015208333333333
DSNY,2016-04-06,21.395791666666668,21.158822916666665,21.635558333333332,0.02841875
DSNY,2016-04-07,20.445608333333332,20.18294375,20.729166666666668,0.043616666666666665
DSNY,2016-04-08,21.08006875,20.7813375,21.380916666666668,0.05138333333333333
DSNY,2016-04-09,19.49816875,19.227620833333333,19.767727083333334,0.0385
DSNY,2016-04-10,18.671872916666665,18.2535375,19.080127083333334,0.09055416666666667
DSNY,2016-04-11,20.91766875,20.591877083333333,21.24968125,0.058229166666666665
DSNY,2016-04-12,21.528720833333335,21.212620833333332,21.85499375,0.061379166666666665
DSNY,2016-04-13,23.015672916666666,22.68263333333333,23.343477083333333,0.06080625
DSNY,2016-04-14,22.977525,22.680302083333334,23.310264583333332,0.19423541666666666
DSNY,2016-04-15,22.093695833333335,21.872704166666665,22.32023125,0.04013333333333333
DSNY,2016-04-16,22.354272916666666,22.16118125,22.541858333333334,0.028947916666666667
DSNY,2016-04-17,21.62923125,21.426120833333332,21.83464791666667,0.022710416666666667
DSNY,2016-04-18,20.709035416666666,20.456475,20.971754166666667,0.030795833333333335
DSNY,2016-04-19,20.4187625,20.14706875,20.69922083333333,0.04552083333333334
DSNY,2016-04-20,21.120204166666667,20.802210416666668,21.437541666666668,0.07197291666666666
DSNY,2016-04-21,22.058020833333334,21.6163125,22.534352083333335,0.08526666666666667
DSNY,2016-04-22,22.572241666666667,22.141679166666666,23.1214625,0.07940625
DSNY,2016-04-23,23.3222125,23.006672916666666,23.748045833333332,0.047066666666666666
DSNY,2016-04-24,23.001641666666668,22.543191666666665,23.601214583333334,0.08167708333333333
DSNY,2016-04-25,23.214297916666666,22.79668125,23.7769875,0.06363958333333333
DSNY,2016-04-26,22.758479166666667,22.25306875,23.415895833333334,0.09064166666666666
DSNY,2016-04-27,23.529822916666667,23.090783333333334,24.105997916666666,0.07374583333333333
DSNY,2016-04-28,24.382264583333335,23.854641666666666,24.974435416666665,0.09590833333333333
DSNY,2016-04-29,24.5834875,24.127702083333332,25.171252083333332,0.11780833333333333
DSNY,2016-04-30,25.258129166666667,24.875972916666665,25.72074375,0.048981250000000004
DSNY,2016-05-01,24.87815416666667,24.44726875,25.4242375,0.07226666666666667
DSNY,2016-05-02,25.682022916666668,25.252110416666667,26.239041666666665,0.0754875
DSNY,2016-05-03,25.430691666666668,25.068145833333332,25.892247916666665,0.056779166666666665
DSNY,2016-05-04,21.800852083333332,21.50758125,22.093660416666665,0.10755624999999999
DSNY,2016-05-05,18.417310344827587,18.12196896551724,18.727444827586208,0.03623793103448276
DSNY,2016-05-09,24.46564642857143,23.833292857142858,25.325903571428572,0.13607857142857144
DSNY,2016-05-10,23.928004166666668,23.493704166666667,24.53253125,0.07710208333333333
DSNY,2016-05-11,24.736204166666667,24.29675625,25.288502083333334,0.07443125
DSNY,2016-05-12,23.964277083333332,23.5899625,24.4286875,0.047154166666666664
DSNY,2016-05-13,25.233408333333333,24.876622916666665,25.723952083333334,0.05295833333333333
DSNY,2016-05-14,25.310485416666666,24.817933333333333,25.852016666666668,0.07971458333333334
DSNY,2016-05-15,24.202275,23.629591666666666,24.810870833333333,0.09960208333333333
DSNY,2016-05-16,24.710408333333334,24.267270833333335,25.251191666666667,0.07135625
DSNY,2016-05-17,24.630108333333332,24.315447916666667,25.027279166666666,0.07113125000000001
DSNY,2016-05-18,24.7096375,24.403541666666666,25.052404166666665,0.034133333333333335
DSNY,2016-05-19,25.227166666666665,24.715914583333333,25.755385416666666,0.27474166666666666
DSNY,2016-05-20,24.91175833333333,24.417339583333334,25.346570833333335,0.16656875000000002
DSNY,2016-05-21,25.79234375,25.47840625,26.17117916666667,0.03570416666666667
DSNY,2016-05-22,25.549270833333335,25.241314583333335,25.882458333333332,0.028014583333333332
DSNY,2016-05-23,24.707375,24.246520833333335,25.282227083333332,0.07821041666666667
DSNY,2016-05-24,25.377510416666667,24.88358125,25.956897916666666,0.0831375
DSNY,2016-05-25,25.2504875,24.863995833333334,25.717427083333334,0.04361458333333333
DSNY,2016-05-26,23.830883333333333,23.290439583333335,24.479195833333332,0.09465833333333333
DSNY,2016-05-27,24.7575375,24.32566875,25.32454375,0.05987708333333333
DSNY,2016-05-28,25.80773695652174,25.39272608695652,26.372704347826087,0.08163260869565217
DSNY,2016-05-29,25.498337499999998,25.011220833333333,26.15921875,0.14598125
DSNY,2016-05-30,25.215439583333332,24.754297916666665,25.803495833333333,0.16485208333333334
DSNY,2016-05-31,25.754325,25.269970833333332,26.354347916666665,0.134875
DSNY,2016-06-01,26.052341666666667,25.607870833333333,26.556004166666668,0.10584166666666667
DSNY,2016-06-02,27.019827083333332,26.598260416666665,27.570854166666667,0.0698125
DSNY,2016-06-03,27.6617875,27.257495833333333,28.162804166666668,0.061435416666666666
DSNY,2016-06-04,27.938310416666667,27.5334625,28.44994375,0.06355833333333333
DSNY,2016-06-05,26.683239583333332,26.305114583333335,27.18618125,0.08750000000000001
DSNY,2016-06-06,23.673975862068964,23.473672413793103,23.870824137931034,0.013365517241379311
